    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  303,     1.515,      3.03,     2231,   257164,   1.0000,    22406,      242,     0000, 0.0086753978,        0,        0,     2231,   129004,   128534,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  304,      1.52,      3.04,     2282,   256989,   1.0000,    22404,      241,     0000, 0.0088797575,        0,        0,     2282,   128961,   128546,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  305,     1.525,      3.05,     2442,   257009,   1.0000,    22396,      242,     0000, 0.0095016128,        0,        0,     2442,   128953,   128451,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  306,      1.53,      3.06,     2319,   257006,   1.0000,    22393,      242,     0000, 0.0090231356,        0,        0,     2319,   128924,   128483,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  307,     1.535,      3.07,     2224,   257002,   1.0000,    22400,      242,     0000, 0.0086536292,        0,        0,     2224,   128924,   128509,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  308,      1.54,      3.08,     2015,   256863,   1.0000,    22394,      242,     0000, 0.0078446487,        0,        0,     2015,   128867,   128498,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  309,     1.545,      3.09,     1913,   256902,   1.0000,    22388,      242,     0000, 0.0074464193,        0,        0,     1913,   128771,   128543,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  310,      1.55,       3.1,     1816,   256877,   1.0000,    22390,      243,     0000, 0.0070695313,        0,        0,     1816,   128692,   128603,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  311,     1.555,      3.11,     1815,   256808,   1.0000,    22390,      243,     0000, 0.0070675368,        0,        0,     1815,   128788,   128458,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  312,      1.56,      3.12,     1887,   256846,   1.0000,    22393,      243,     0000, 0.0073468148,        0,        0,     1888,   128836,   128392,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  313,     1.565,      3.13,     1911,   256814,   1.0000,    22387,      243,     0000, 0.0074411831,        0,        0,     1911,   128702,   128542,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  314,      1.57,      3.14,     1770,   256667,   1.0000,    22378,      243,     0000, 0.0068960949,        0,        0,     1770,   128621,   128597,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  315,     1.575,      3.15,     1690,   256663,   1.0000,    22375,      242,     0000, 0.0065845096,        0,        0,     1690,   128584,   128559,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  316,      1.58,      3.16,     1567,   256572,   1.0000,    22366,      242,     0000, 0.0061074474,        0,        0,     1567,   128702,   128328,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  317,     1.585,      3.17,     1545,   256561,   1.0000,    22342,      242,     0000, 0.0060219597,        0,        0,     1545,   129268,   127627,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
