    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
   47,     0.282,     0.564,        1,     1988,   0.3000,    53815,      236,     1000, 0.001367345,        0,        0,        1,    55509,    55337,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    97620,   212818,    70944,   255728,      534,      686,   541600,      935,      941,    34092,   152837,   684997,     1374,     1360,    22630,   213958,        0,        0,        0
   48,     0.288,     0.576,        1,     1984,   0.3000,    53820,      236,     1000, 0.0013701017,        0,        0,        1,    55558,    55290,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    72803,   158290,    35969,   264926,      421,      556,   460970,      761,      842,    27332,   250726,   660484,     1148,     1169,    21553,   151648,        0,        0,        0
   49,     0.294,     0.588,        0,     1986,   0.3000,    53766,      236,     1000,        0,        0,        0,        0,    55578,    55159,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    42627,    93314,    16793,   222140,      302,      451,   333665,      664,      687,    27268,   329628,   565708,      997,     1033,    20222,   150522,        0,        0,        0
   50,       0.3,       0.6,        0,     1985,   0.3000,    53753,      235,     1000,        0,        0,        0,        0,    55538,    55182,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    20757,    45858,    13664,   150951,      199,      307,   211453,      555,      636,    26376,   354014,   431307,      889,      919,    18107,   177280,        0,        0,        0
   51,     0.306,     0.612,        0,     1983,   0.3000,    53816,      235,     1000,        0,        0,        0,        0,    55450,    55393,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    10323,    23036,    17181,    82042,      181,      231,   122974,      504,      526,    22286,   315320,   292448,      854,      768,    16568,   195328,        0,        0,        0
   52,     0.312,     0.624,        1,     1986,   0.3000,    53832,      236,     1000, 0.001368722,        0,        0,        3,    55485,    55394,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,     9265,    20930,    19591,    38076,      117,      170,    79095,      408,      408,    16850,   241480,   185234,      713,      688,    17035,   197419,        0,        0,        0
   53,     0.318,     0.636,        0,     8408,   0.3000,    53774,      236,     0000,        0,        0,        0,        0,    55501,    55269,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    50285,   112895,    74352,    96595,      565,      712,   285526,     1558,     1628,    55647,   673263,   513076,     2660,     2790,    79748,   770030,        0,        0,        0
   54,     0.324,     0.648,        0,     8398,   0.3000,    53772,      236,     0000,        0,        0,        0,        0,    55524,    55234,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    56934,   125696,    47861,   111230,      558,      737,   286401,     1457,     1539,    55801,   397902,   394979,     2365,     2351,    88399,   664233,        0,        0,        0
   55,      0.33,      0.66,        1,     8403,   0.3000,    53751,      235,     0000, 0.00011900512,        0,        0,        2,    55463,    55255,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    47624,   105908,    22287,   141528,      557,      715,   271315,     1454,     1467,    72047,   247177,   361033,     2184,     2195,    94524,   562022,        0,        0,        0
   56,     0.336,     0.672,        1,     8384,   0.3000,    53693,      236,     0000, 0.00011927481,        0,        0,        1,    55457,    55149,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    29771,    66329,    11936,   140623,      491,      672,   220334,     1372,     1278,    92402,   195884,   343744,     1895,     1902,    93331,   465577,        0,        0,        0
