    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  147,     0.735,      1.47,     5151,   262735,   1.0000,     4667,      183,     1000, 0.097105715,        0,        0,     5151,   131303,   130913,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  148,      0.74,      1.48,     5201,   262786,   1.0000,     4663,      183,     1000, 0.098029277,        0,        0,     5201,   131398,   130845,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  149,     0.745,      1.49,     5241,   262696,   1.0000,     4661,      184,     1000, 0.098817047,        0,        0,     5241,   131424,   130809,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  150,      0.75,       1.5,     5264,   262661,   1.0000,     4659,      183,     1000, 0.099263928,        0,        0,     5264,   131305,   130867,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  151,     0.755,      1.51,     5204,   262567,   1.0000,     4656,      183,     1000, 0.098167632,        0,        0,     5204,   131244,   130911,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  152,      0.76,      1.52,     5329,   262530,   1.0000,     4654,      184,     1000, 0.10053979,        0,        0,     5329,   131209,   130861,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  153,     0.765,      1.53,     5163,   262479,   1.0000,     4651,      183,     1000, 0.097426866,        0,        0,     5163,   131128,   130879,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  154,      0.77,      1.54,     4976,   262415,   1.0000,     4650,      183,     1000, 0.093921039,        0,        0,     4976,   131060,   130912,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  155,     0.775,      1.55,     5081,   262313,   1.0000,     4649,      182,     1000, 0.095940185,        0,        0,     5081,   131170,   130773,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  156,      0.78,      1.56,     4998,   262316,   1.0000,     4651,      183,     1000, 0.094371888,        0,        0,     4997,   131204,   130660,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  157,     0.785,      1.57,     4664,   262231,   1.0000,     4647,      182,     1000, 0.088093868,        0,        0,     4664,   131123,   130661,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  158,      0.79,      1.58,     4653,   262267,   1.0000,     4650,      183,     1000, 0.087874036,        0,        0,     4653,   131068,   130703,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
